[2025-04-11 16:17:44,591] [INFO] Application closing.
[2025-04-11 16:42:54,782] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:42:58,310] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png
[2025-04-11 16:43:00,087] [INFO] Extracted: {'person_name': 'Ahsan Ali', 'item_name': 'a'}
[2025-04-11 16:43:00,099] [INFO] Recorded info: {'person_name': 'Ahsan Ali', 'item_name': 'a'}
[2025-04-11 16:43:00,114] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png' with confidence 0.75
[2025-04-11 16:43:03,566] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png
[2025-04-11 16:43:05,722] [INFO] Typed message.
[2025-04-11 16:43:06,766] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png' with confidence 0.75
[2025-04-11 16:43:10,232] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png
[2025-04-11 16:43:18,632] [INFO] Iteration 2/5
[2025-04-11 16:43:18,644] [INFO] Checking sidebar presence...
[2025-04-11 16:43:18,659] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:43:18,882] [INFO] Starting message flow.
[2025-04-11 16:43:22,623] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:43:26,329] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png
[2025-04-11 16:43:27,867] [INFO] Extracted: {'person_name': 'Jobaer Faysal x', 'item_name': 'Samsung s20'}
[2025-04-11 16:43:27,878] [INFO] Recorded info: {'person_name': 'Jobaer Faysal x', 'item_name': 'Samsung s20'}
[2025-04-11 16:43:27,897] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png' with confidence 0.75
[2025-04-11 16:43:31,378] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png
[2025-04-11 16:43:33,563] [INFO] Typed message.
[2025-04-11 16:43:34,603] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png' with confidence 0.75
[2025-04-11 16:43:38,075] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png
[2025-04-11 16:43:46,451] [INFO] Iteration 3/5
[2025-04-11 16:43:46,467] [INFO] Checking sidebar presence...
[2025-04-11 16:43:46,480] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:43:46,678] [INFO] Starting message flow.
[2025-04-11 16:43:50,436] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:43:53,903] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png
[2025-04-11 16:43:55,404] [INFO] Extracted: {'person_name': 'Musfiqur Rahman Adon x', 'item_name': 'Realmi c25s (4-128)'}
[2025-04-11 16:43:55,417] [INFO] Recorded info: {'person_name': 'Musfiqur Rahman Adon x', 'item_name': 'Realmi c25s (4-128)'}
[2025-04-11 16:43:55,433] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png' with confidence 0.75
[2025-04-11 16:43:58,939] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png
[2025-04-11 16:44:01,110] [INFO] Typed message.
[2025-04-11 16:44:02,156] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png' with confidence 0.75
[2025-04-11 16:44:05,646] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png
[2025-04-11 16:44:08,176] [INFO] User requested stop.
[2025-04-11 16:44:08,408] [INFO] Automation ended.
[2025-04-11 16:45:15,518] [INFO] Iteration 1/5
[2025-04-11 16:45:15,527] [INFO] Checking sidebar presence...
[2025-04-11 16:45:15,539] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:45:15,803] [INFO] Starting message flow.
[2025-04-11 16:45:19,538] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:45:19,772] [ERROR] Failed to click image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png': 
[2025-04-11 16:45:19,784] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msgagain.png' with confidence 0.75
[2025-04-11 16:45:20,016] [ERROR] Error handling 'msg again' for 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png': 
[2025-04-11 16:45:20,030] [ERROR] Flow error: 
[2025-04-11 16:45:20,478] [INFO] User requested stop.
[2025-04-11 16:45:20,560] [INFO] Automation ended.
[2025-04-11 16:45:25,115] [INFO] Iteration 1/5
[2025-04-11 16:45:25,125] [INFO] Checking sidebar presence...
[2025-04-11 16:45:25,135] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:45:25,319] [INFO] Starting message flow.
[2025-04-11 16:45:29,114] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:45:32,574] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png
[2025-04-11 16:45:34,057] [INFO] Extracted: {'person_name': 'Nibir Ahmed x', 'item_name': 'Samsung s21 plus 5g'}
[2025-04-11 16:45:34,071] [INFO] Recorded info: {'person_name': 'Nibir Ahmed x', 'item_name': 'Samsung s21 plus 5g'}
[2025-04-11 16:45:34,089] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png' with confidence 0.75
[2025-04-11 16:45:37,678] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png
[2025-04-11 16:45:39,841] [INFO] Typed message.
[2025-04-11 16:45:40,895] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png' with confidence 0.75
[2025-04-11 16:45:44,354] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png
[2025-04-11 16:45:45,411] [INFO] User requested stop.
[2025-04-11 16:45:45,794] [INFO] Automation ended.
[2025-04-11 16:46:50,439] [INFO] Application closing.
[2025-04-11 16:47:12,309] [INFO] User requested stop.
[2025-04-11 16:47:12,337] [INFO] Automation ended.
[2025-04-11 16:47:34,639] [INFO] Application closing.
[2025-04-11 16:47:43,214] [INFO] Iteration 1/5
[2025-04-11 16:47:43,216] [INFO] Checking sidebar presence...
[2025-04-11 16:47:43,218] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:47:43,444] [INFO] Starting message flow.
[2025-04-11 16:47:47,168] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:47:47,346] [ERROR] Failed to click image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png': 
[2025-04-11 16:47:47,347] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msgagain.png' with confidence 0.75
[2025-04-11 16:47:47,495] [ERROR] Error handling 'msg again' for 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png': 
[2025-04-11 16:47:47,496] [ERROR] Flow error: 
[2025-04-11 16:47:49,511] [INFO] Iteration 2/5
[2025-04-11 16:47:49,512] [INFO] Checking sidebar presence...
[2025-04-11 16:47:49,514] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:47:49,715] [WARNING] Skip cycle: 
[2025-04-11 16:47:51,729] [INFO] Iteration 3/5
[2025-04-11 16:47:51,730] [INFO] Checking sidebar presence...
[2025-04-11 16:47:51,730] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:47:51,917] [WARNING] Skip cycle: 
[2025-04-11 16:47:53,931] [INFO] Iteration 4/5
[2025-04-11 16:47:53,933] [INFO] Checking sidebar presence...
[2025-04-11 16:47:53,934] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:47:54,125] [WARNING] Skip cycle: 
[2025-04-11 16:47:56,141] [INFO] Iteration 5/5
[2025-04-11 16:47:56,143] [INFO] Checking sidebar presence...
[2025-04-11 16:47:56,144] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:47:56,333] [WARNING] Skip cycle: 
[2025-04-11 16:47:58,349] [INFO] Completed all iterations.
[2025-04-11 16:48:38,553] [INFO] Iteration 1/5
[2025-04-11 16:48:38,554] [INFO] Checking sidebar presence...
[2025-04-11 16:48:38,556] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:48:38,791] [INFO] Starting message flow.
[2025-04-11 16:49:46,212] [INFO] User requested stop.
[2025-04-11 16:49:46,268] [INFO] Automation ended.
[2025-04-11 16:50:26,391] [INFO] Iteration 1/5
[2025-04-11 16:50:26,413] [INFO] Checking sidebar presence...
[2025-04-11 16:50:26,425] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:50:26,627] [WARNING] Skip cycle: 
[2025-04-11 16:50:28,000] [INFO] Application closing.
[2025-04-11 16:50:28,648] [INFO] Iteration 2/5
[2025-04-11 16:50:28,649] [INFO] Checking sidebar presence...
[2025-04-11 16:50:28,650] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:50:28,857] [WARNING] Skip cycle: 
[2025-04-11 16:50:30,869] [INFO] Iteration 3/5
[2025-04-11 16:50:30,870] [INFO] Checking sidebar presence...
[2025-04-11 16:50:30,871] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:50:31,061] [WARNING] Skip cycle: 
[2025-04-11 16:50:47,347] [INFO] Iteration 1/5
[2025-04-11 16:50:47,348] [INFO] Checking sidebar presence...
[2025-04-11 16:50:47,348] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:50:47,567] [WARNING] Skip cycle: 
[2025-04-11 16:50:49,578] [INFO] Iteration 2/5
[2025-04-11 16:50:49,580] [INFO] Checking sidebar presence...
[2025-04-11 16:50:49,581] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:50:49,793] [WARNING] Skip cycle: 
[2025-04-11 16:51:09,434] [INFO] Iteration 1/5
[2025-04-11 16:51:09,457] [INFO] Checking sidebar presence...
[2025-04-11 16:51:09,471] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:51:09,668] [WARNING] Skip cycle: 
[2025-04-11 16:51:11,688] [INFO] Iteration 2/5
[2025-04-11 16:51:11,690] [INFO] Checking sidebar presence...
[2025-04-11 16:51:11,691] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:51:11,924] [WARNING] Skip cycle: 
[2025-04-11 16:51:13,937] [INFO] Iteration 3/5
[2025-04-11 16:51:13,939] [INFO] Checking sidebar presence...
[2025-04-11 16:51:13,940] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:51:14,140] [WARNING] Skip cycle: 
[2025-04-11 16:51:16,152] [INFO] Iteration 4/5
[2025-04-11 16:51:16,154] [INFO] Checking sidebar presence...
[2025-04-11 16:51:16,155] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:51:16,468] [WARNING] Skip cycle: 
[2025-04-11 16:51:18,486] [INFO] Iteration 5/5
[2025-04-11 16:51:18,486] [INFO] Checking sidebar presence...
[2025-04-11 16:51:18,487] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:51:18,748] [INFO] Starting message flow.
[2025-04-11 16:51:30,229] [INFO] Iteration 1/5
[2025-04-11 16:51:30,240] [INFO] Checking sidebar presence...
[2025-04-11 16:51:30,247] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:51:30,437] [INFO] Starting message flow.
[2025-04-11 16:51:34,161] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:51:37,657] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png
[2025-04-11 16:51:39,110] [INFO] Extracted: {'person_name': 'Ahsan Ali x', 'item_name': 'rs'}
[2025-04-11 16:51:39,122] [INFO] Recorded info: {'person_name': 'Ahsan Ali x', 'item_name': 'rs'}
[2025-04-11 16:51:39,135] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png' with confidence 0.75
[2025-04-11 16:51:42,605] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png
[2025-04-11 16:51:44,754] [INFO] Typed message.
[2025-04-11 16:51:45,800] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png' with confidence 0.75
[2025-04-11 16:51:49,270] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png
[2025-04-11 16:52:00,201] [INFO] Iteration 2/5
[2025-04-11 16:52:00,229] [INFO] Checking sidebar presence...
[2025-04-11 16:52:00,248] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:52:00,440] [INFO] Starting message flow.
[2025-04-11 16:52:04,191] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:52:07,668] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png
[2025-04-11 16:52:09,459] [INFO] Extracted: {'person_name': 'Jobaer Faysal x', 'item_name': 'Samsung s20'}
[2025-04-11 16:52:09,471] [INFO] Recorded info: {'person_name': 'Jobaer Faysal x', 'item_name': 'Samsung s20'}
[2025-04-11 16:52:09,484] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png' with confidence 0.75
[2025-04-11 16:52:12,950] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png
[2025-04-11 16:52:15,092] [INFO] Typed message.
[2025-04-11 16:52:16,110] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png' with confidence 0.75
[2025-04-11 16:52:19,687] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png
[2025-04-11 16:52:30,578] [INFO] Iteration 3/5
[2025-04-11 16:52:30,612] [INFO] Checking sidebar presence...
[2025-04-11 16:52:30,627] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:52:30,815] [INFO] Starting message flow.
[2025-04-11 16:52:34,563] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:52:38,026] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png
[2025-04-11 16:52:39,730] [INFO] Extracted: {'person_name': 'Musfiqur Rahman Adon x', 'item_name': 'Realmi c25s (4-128)'}
[2025-04-11 16:52:39,742] [INFO] Recorded info: {'person_name': 'Musfiqur Rahman Adon x', 'item_name': 'Realmi c25s (4-128)'}
[2025-04-11 16:52:39,757] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png' with confidence 0.75
[2025-04-11 16:52:43,361] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png
[2025-04-11 16:52:45,502] [INFO] Typed message.
[2025-04-11 16:52:46,547] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png' with confidence 0.75
[2025-04-11 16:52:50,020] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png
[2025-04-11 16:53:00,979] [INFO] Iteration 4/5
[2025-04-11 16:53:00,995] [INFO] Checking sidebar presence...
[2025-04-11 16:53:01,010] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:53:01,207] [INFO] Starting message flow.
[2025-04-11 16:53:05,021] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:53:05,194] [ERROR] Failed to click image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png': 
[2025-04-11 16:53:05,205] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msgagain.png' with confidence 0.75
[2025-04-11 16:53:08,554] [INFO] Already sent message for: C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png
[2025-04-11 16:53:08,572] [INFO] Message already sent.
[2025-04-11 16:53:12,243] [INFO] Iteration 5/5
[2025-04-11 16:53:12,267] [INFO] Checking sidebar presence...
[2025-04-11 16:53:12,296] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:53:12,504] [INFO] Starting message flow.
[2025-04-11 16:53:16,279] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:53:19,728] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png
[2025-04-11 16:53:21,192] [INFO] Extracted: {'person_name': 'Muhammad Shad Sha x', 'item_name': 'Oppo a3s 6-128'}
[2025-04-11 16:53:21,204] [INFO] Recorded info: {'person_name': 'Muhammad Shad Sha x', 'item_name': 'Oppo a3s 6-128'}
[2025-04-11 16:53:21,219] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png' with confidence 0.75
[2025-04-11 16:53:24,694] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png
[2025-04-11 16:53:26,836] [INFO] Typed message.
[2025-04-11 16:53:27,878] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png' with confidence 0.75
[2025-04-11 16:53:31,377] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png
[2025-04-11 16:53:42,267] [INFO] Completed all iterations.
[2025-04-11 16:53:59,266] [INFO] User requested stop.
[2025-04-11 16:54:35,014] [INFO] Application closing.
[2025-04-11 17:25:52,248] [INFO] Application closing.
[2025-04-11 17:35:26,249] [INFO] Application closing.
